person,person_url,universities_category,key,value
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee,Đại học Harvard,doctoral_students,''[https://dspace.mit.edu/handle/1721.1/9516 Essays in empirical development economics]''. Ph.D. dissertation
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee,Đại học Harvard,doctoral_students,Benjamin Jones
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee,Đại học Harvard,doctoral_students,Dean Karlan<ref>Karlan
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee,Đại học Harvard,doctoral_students,Dean S. (2002)
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee,Đại học Harvard,doctoral_students,Esther (1999)
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee,Đại học Harvard,doctoral_students,Esther Duflo<ref>Duflo
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee,Đại học Harvard,doctoral_students,Massachusetts Institute of Technology.</ref>
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee,Đại học Harvard,doctoral_students,Massachusetts Institute of Technology.</ref>
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee,Đại học Harvard,education,Kolkata
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee,Đại học Harvard,education,Presidency College
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee,Đại học Harvard,education,Đại học Calcutta (BA)
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee,Đại học Harvard,education,Đại học Harvard (PhD)
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee,Đại học Harvard,education,Đại học Jawaharlal Nehru (MA)
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee,Đại học Harvard,field,Kinh tế học phát triển
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee,Đại học Harvard,image,Abhijit Banerjee FT Goldman Sachs Business Book of the Year Award 2011 (cropped).jpg
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee,Đại học Harvard,name,Abhijit Banerjee
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee,Đại học Harvard,nationality,Hoa Kỳ
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee,Đại học Harvard,spouse,Arundhati Tuli (đã ly dị)
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee,Đại học Harvard,spouse,Esther Duflo (2015–nay)
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee,Đại học Harvard,workplaces,Viện Công nghệ Massachusetts
Adam Riess,https://vi.wikipedia.org/wiki/Adam_Riess,Viện Công nghệ Massachusetts; Đại học Harvard,birth_date,1969
Adam Riess,https://vi.wikipedia.org/wiki/Adam_Riess,Viện Công nghệ Massachusetts; Đại học Harvard,birth_place,D.C
Adam Riess,https://vi.wikipedia.org/wiki/Adam_Riess,Viện Công nghệ Massachusetts; Đại học Harvard,birth_place,Hoa Kỳ
Adam Riess,https://vi.wikipedia.org/wiki/Adam_Riess,Viện Công nghệ Massachusetts; Đại học Harvard,birth_place,Washington
Adam Riess,https://vi.wikipedia.org/wiki/Adam_Riess,Viện Công nghệ Massachusetts; Đại học Harvard,caption,Adam Riess nhận Giải Shaw trong thiên văn học năm 2006 cho sự khám phá vũ trụ đang dãn nở tăng tốc
Adam Riess,https://vi.wikipedia.org/wiki/Adam_Riess,Viện Công nghệ Massachusetts; Đại học Harvard,field,Thiên văn vật lý
Adam Riess,https://vi.wikipedia.org/wiki/Adam_Riess,Viện Công nghệ Massachusetts; Đại học Harvard,image,Adam Riess.jpg
Adam Riess,https://vi.wikipedia.org/wiki/Adam_Riess,Viện Công nghệ Massachusetts; Đại học Harvard,imagesize,200px
Adam Riess,https://vi.wikipedia.org/wiki/Adam_Riess,Viện Công nghệ Massachusetts; Đại học Harvard,known_for,Vũ trụ gia tốc / Năng lượng tối
Adam Riess,https://vi.wikipedia.org/wiki/Adam_Riess,Viện Công nghệ Massachusetts; Đại học Harvard,name,Adam Guy Riess
Adam Riess,https://vi.wikipedia.org/wiki/Adam_Riess,Viện Công nghệ Massachusetts; Đại học Harvard,nationality,Hoa Kỳ
Adam Riess,https://vi.wikipedia.org/wiki/Adam_Riess,Viện Công nghệ Massachusetts; Đại học Harvard,prizes,Giải Nobel Vật lý (2011)
Adam Riess,https://vi.wikipedia.org/wiki/Adam_Riess,Viện Công nghệ Massachusetts; Đại học Harvard,prizes,Giải Shaw (2006)
Adam Riess,https://vi.wikipedia.org/wiki/Adam_Riess,Viện Công nghệ Massachusetts; Đại học Harvard,prizes,Huy chương Albert Einstein (2011)
Adam Riess,https://vi.wikipedia.org/wiki/Adam_Riess,Viện Công nghệ Massachusetts; Đại học Harvard,residence,Hoa Kỳ
Adam Riess,https://vi.wikipedia.org/wiki/Adam_Riess,Viện Công nghệ Massachusetts; Đại học Harvard,work_institution,Đại học Johns Hopkins / Viện khoa học kính thiên văn không gian
Aharon Barak,https://vi.wikipedia.org/wiki/Aharon_Barak,Đại học Georgetown; Đại học Harvard,alma_mater,Đại học Hebrew của Jerusalem
Aharon Barak,https://vi.wikipedia.org/wiki/Aharon_Barak,Đại học Georgetown; Đại học Harvard,birth_place,Kaunas
Aharon Barak,https://vi.wikipedia.org/wiki/Aharon_Barak,Đại học Georgetown; Đại học Harvard,birth_place,Lithuania
Aharon Barak,https://vi.wikipedia.org/wiki/Aharon_Barak,Đại học Georgetown; Đại học Harvard,image,Aharon Barak.jpg
Aharon Barak,https://vi.wikipedia.org/wiki/Aharon_Barak,Đại học Georgetown; Đại học Harvard,imagesize,180px
Aharon Barak,https://vi.wikipedia.org/wiki/Aharon_Barak,Đại học Georgetown; Đại học Harvard,name,Aharon Barak
Aharon Barak,https://vi.wikipedia.org/wiki/Aharon_Barak,Đại học Georgetown; Đại học Harvard,nationality,Israel
Aharon Barak,https://vi.wikipedia.org/wiki/Aharon_Barak,Đại học Georgetown; Đại học Harvard,office,Chánh Án Tòa án tối cao Israel
Aharon Barak,https://vi.wikipedia.org/wiki/Aharon_Barak,Đại học Georgetown; Đại học Harvard,predecessor,Meir Shamgar
Aharon Barak,https://vi.wikipedia.org/wiki/Aharon_Barak,Đại học Georgetown; Đại học Harvard,spouse,Elisheva Ososkin
Aharon Barak,https://vi.wikipedia.org/wiki/Aharon_Barak,Đại học Georgetown; Đại học Harvard,successor,Dorit Beinisch
Aharon Barak,https://vi.wikipedia.org/wiki/Aharon_Barak,Đại học Georgetown; Đại học Harvard,term_end,ngày 14 tháng 9 năm 2006
Aharon Barak,https://vi.wikipedia.org/wiki/Aharon_Barak,Đại học Georgetown; Đại học Harvard,term_start,ngày 13 tháng 8 năm 1995
Ajit Pai,https://vi.wikipedia.org/wiki/Ajit_Pai,Đại học Harvard,birth_name,Ajit Varadaraj Pai
Ajit Pai,https://vi.wikipedia.org/wiki/Ajit_Pai,Đại học Harvard,birth_place,Buffalo
Ajit Pai,https://vi.wikipedia.org/wiki/Ajit_Pai,Đại học Harvard,birth_place,Hoa Kỳ
Ajit Pai,https://vi.wikipedia.org/wiki/Ajit_Pai,Đại học Harvard,birth_place,New York
Ajit Pai,https://vi.wikipedia.org/wiki/Ajit_Pai,Đại học Harvard,education,Đại học Chicago
Ajit Pai,https://vi.wikipedia.org/wiki/Ajit_Pai,Đại học Harvard,education,Đại học Harvard
Ajit Pai,https://vi.wikipedia.org/wiki/Ajit_Pai,Đại học Harvard,image,Ajit Pai portrait 2018.jpg
Ajit Pai,https://vi.wikipedia.org/wiki/Ajit_Pai,Đại học Harvard,name,Ajit Pai
Ajit Pai,https://vi.wikipedia.org/wiki/Ajit_Pai,Đại học Harvard,office,Chủ tịch Ủy ban Truyền thông Liên bang
Ajit Pai,https://vi.wikipedia.org/wiki/Ajit_Pai,Đại học Harvard,office1,Thành viên Ủy ban Truyền thông Liên bang
Ajit Pai,https://vi.wikipedia.org/wiki/Ajit_Pai,Đại học Harvard,party,Cộng hòa
Ajit Pai,https://vi.wikipedia.org/wiki/Ajit_Pai,Đại học Harvard,predecessor,Tom Wheeler
Ajit Pai,https://vi.wikipedia.org/wiki/Ajit_Pai,Đại học Harvard,predecessor1,Meredith Attwell Baker
Ajit Pai,https://vi.wikipedia.org/wiki/Ajit_Pai,Đại học Harvard,president,Donald Trump
Ajit Pai,https://vi.wikipedia.org/wiki/Ajit_Pai,Đại học Harvard,term_start,23 tháng 1 năm 2017
Ajit Pai,https://vi.wikipedia.org/wiki/Ajit_Pai,Đại học Harvard,term_start1,14 tháng 5 năm 2012
Alan Greenspan,https://vi.wikipedia.org/wiki/Alan_Greenspan,Đại học Columbia,birth_place,New York
Alan Greenspan,https://vi.wikipedia.org/wiki/Alan_Greenspan,Đại học Columbia,birth_place,Thành phố New York
Alan Greenspan,https://vi.wikipedia.org/wiki/Alan_Greenspan,Đại học Columbia,field,kinh tế
Alan Greenspan,https://vi.wikipedia.org/wiki/Alan_Greenspan,Đại học Columbia,image,Alan Greenspan color photo portrait.jpg
Alan Greenspan,https://vi.wikipedia.org/wiki/Alan_Greenspan,Đại học Columbia,imagesize,220px
Alan Greenspan,https://vi.wikipedia.org/wiki/Alan_Greenspan,Đại học Columbia,known_for,bong bóng Dot-com
Alan Greenspan,https://vi.wikipedia.org/wiki/Alan_Greenspan,Đại học Columbia,known_for,cách xử lý ngày Thứ Hai Đen
Alan Greenspan,https://vi.wikipedia.org/wiki/Alan_Greenspan,Đại học Columbia,name,Alan Greenspan
Alan Greenspan,https://vi.wikipedia.org/wiki/Alan_Greenspan,Đại học Columbia,nationality,Hoa Kỳ
Alan Greenspan,https://vi.wikipedia.org/wiki/Alan_Greenspan,Đại học Columbia,residence,Hoa Kỳ
Alberto Alesina,https://vi.wikipedia.org/wiki/Alberto_Alesina,Đại học Harvard,alma_mater,Đại học Bocconi
