from,to,type,weight
Reuven Rivlin,Đại học Hebrew của Jerusalem,alumni_of,1
Ariel Sharon,Đại học Hebrew của Jerusalem,alumni_of,1
Ehud Barak,Đại học Hebrew của Jerusalem,alumni_of,1
Ehud Barak,Đại học Stanford,alumni_of,1
Golda Meir,Đại học Wisconsin–Milwaukee,alumni_of,1
Vladimir Ilyich Lenin,Đại học Tổng hợp Sankt-Peterburg,alumni_of,1
Isaac Herzog,Đại học Cornell,alumni_of,1
Isaac Herzog,Đại học New York,alumni_of,1
Moshe Sharett,Đại học Istanbul,alumni_of,1
Moshe Sharett,Trường Kinh tế Luân Đôn,alumni_of,1
Naftali Bennett,Đại học Hebrew Jerusalem,alumni_of,1
Mahmud Ahmadinezhad,Đại học Khoa học và Công nghệ Iran,alumni_of,1
Daniel D. Tompkins,Đại học Columbia,alumni_of,1
William A. Wheeler,University of Vermont,alumni_of,1
Garret Hobart,Rutgers University–New Brunswick,alumni_of,1
Charles W. Fairbanks,Ohio Wesleyan University,alumni_of,1
James S. Sherman,Hamilton College,alumni_of,1
George Osborne,Đại học Oxford,alumni_of,1
Rishi Sunak,Đại học Stanford,alumni_of,1
William Hague,Đại học Oxford,alumni_of,1
Nelson Rockefeller,Đại học Dartmouth,alumni_of,1
William Pitt Trẻ,Đại học Cambridge,alumni_of,1
George Grenville,Eton College,alumni_of,1
George Canning,Eton College,alumni_of,1
"Henry Addington, Tử tước Sidmouth thứ 1",Đại học Oxford,alumni_of,1
"Henry John Temple, Tử tước Palmerston thứ 3",Đại học Edinburgh,alumni_of,1
"Henry John Temple, Tử tước Palmerston thứ 3",Đại học Cambridge,alumni_of,1
Spencer Perceval,Đại học Cambridge,alumni_of,1
Stanley Baldwin,Đại học Cambridge,alumni_of,1
Neville Chamberlain,Mason College,alumni_of,1
Neville Chamberlain,University of Birmingham,alumni_of,1
"Arthur Wellesley, Công tước thứ 1 xứ Wellington",Eton College,alumni_of,1
Anthony Eden,Eton College,alumni_of,1
Alec Douglas-Home,Eton College,alumni_of,1
Ramsay MacDonald,"Birkbeck, Đại học London",alumni_of,1
James Callaghan,Đại học Oxford,alumni_of,1
Wael Nader al-Halqi,Đại học Damascus,alumni_of,1
Hafez al-Assad,Học viện Quân sự Homs,alumni_of,1
Boris Johnson,Eton College,alumni_of,1
Liz Truss,Trường Roundhay,alumni_of,1
Liz Truss,Đại học Oxford,alumni_of,1
Mahmoud Abbas,Đại học Damascus,alumni_of,1
Yoav Gallant,Đại học Haifa,alumni_of,1
Carl Bildt,Đại học Stockholm,alumni_of,1
Michel Suleiman,Học viện Quân sự Liban,alumni_of,1
Michel Suleiman,Đại học Liban,alumni_of,1
Oliver Wolcott Jr.,Đại học Yale,alumni_of,1
Beau Biden,Đại học Pennsylvania,alumni_of,1
Hunter Biden,Đại học Georgetown,alumni_of,1
Hunter Biden,Đại học Yale,alumni_of,1
Jay Carney,Đại học Yale,alumni_of,1
Mitch McConnell,Đại học Louisville,alumni_of,1
Mitch McConnell,Đại học Kentucky,alumni_of,1
Jens Stoltenberg,Đại học Oslo,alumni_of,1
Pete Buttigieg,Đại học Harvard,alumni_of,1
Ashraf Ghani,Đại học Columbia,alumni_of,1
António Guterres,Đại học Lisboa,alumni_of,1
Jacinda Ardern,Đại học Waikato,alumni_of,1
Anthony Albanese,Đại học Sydney,alumni_of,1
Thabo Mbeki,University of London,alumni_of,1
Ahmed Kathrada,Đại học Nam Phi,alumni_of,1
Pakalitha Mosisili,Đại học Simon Fraser,alumni_of,1
Gro Harlem Brundtland,Đại học Oslo,alumni_of,1
Gro Harlem Brundtland,Đại học Harvard,alumni_of,1
Augusto Pinochet,Học viện Chiến tranh Chile,alumni_of,1
Richard Attenborough,Học viện Hoàng gia Nghệ thuật Sân khấu,alumni_of,1
George Weah,Đại học Parkwood,alumni_of,1
George Weah,Đại học DeVry,alumni_of,1
Richard Rush,Đại học Princeton,alumni_of,1
Eugenia Charles,Đại học Toronto,alumni_of,1
Eugenia Charles,Trường Kinh tế và Khoa học Chính trị London,alumni_of,1
Milton Friedman,Đại học Columbia,alumni_of,1
Milton Friedman,Đại học Chicago,alumni_of,1
Robert Solow,Đại học Harvard,alumni_of,1
Antonin Scalia,Đại học Georgetown,alumni_of,1
Brian Mulroney,St. Francis Xavier University,alumni_of,1
Brian Mulroney,Dalhousie University,alumni_of,1
Ghazi Mashal Ajil al-Yawer,- Đại học dầu khí khoáng sản vua Fahd,alumni_of,1
Ghazi Mashal Ajil al-Yawer,- Đại học Hoa Kỳ,alumni_of,1
Ghazi Mashal Ajil al-Yawer,- Đại học George Washington,alumni_of,1
Fidel Castro,Đại học La Habana,alumni_of,1
Gray Davis,Đại học Stanford,alumni_of,1
Gray Davis,Đại học Columbia,alumni_of,1
Earl Warren,"Đại học California, Berkeley",alumni_of,1
Lech Kaczyński,Đại học Warszawa,alumni_of,1
Lech Kaczyński,Đại học Gdańsk,alumni_of,1
Goodwin Knight,Đại học Stanford,alumni_of,1
