src_university,dst_person,relation,year
Đại học Bang Ohio,JD Vance,ALUMNI_OF,
Đại học Yale,JD Vance,ALUMNI_OF,
Đại học Pennsylvania,Ivanka Trump,ALUMNI_OF,
Đại học Bang Minnesota,Tim Walz,ALUMNI_OF,
Đại học mở ở Hà Lan,Geert Wilders,ALUMNI_OF,
Đại học Milano,Silvio Berlusconi,ALUMNI_OF,
Dulwich College,Nigel Farage,ALUMNI_OF,
Đại học quốc gia La Plata,Cristina Fernández de Kirchner,ALUMNI_OF,
Học viện Quân sự Venezuela,Hugo Chávez,ALUMNI_OF,
Universidade Federal do Rio Grande do Sul,Getúlio Vargas,ALUMNI_OF,
Đại học Columbia,Neil Gorsuch,ALUMNI_OF,
Đại học Harvard,Neil Gorsuch,ALUMNI_OF,
Đại học Oxford,Neil Gorsuch,ALUMNI_OF,
Đại học Yale,Brett Kavanaugh,ALUMNI_OF,
Đại học Notre Dame,Amy Coney Barrett,ALUMNI_OF,
Đại học Princeton,Robert Mueller,ALUMNI_OF,
Đại học New York,Robert Mueller,ALUMNI_OF,
Đại học Virginia,Robert Mueller,ALUMNI_OF,
Đại học Tổng hợp Kim Nhật Thành,Kim Jong-un,ALUMNI_OF,
Đại học Quân sự Kim Nhật Thành,Kim Jong-un,ALUMNI_OF,
Đại học St Andrews,Alex Salmond,ALUMNI_OF,
Đại học Tiểu bang Ohio,John Kasich,ALUMNI_OF,
Đại học Texas tại Austin,John O. Brennan,ALUMNI_OF,
Đại học Beograd,Boris Tadić,ALUMNI_OF,
Đại học Thanh Hoa,Hồ Cẩm Đào,ALUMNI_OF,
Trường Đại học Khoa học Sài Gòn,Nguyễn Minh Triết,ALUMNI_OF,
Học viện Chính trị Quốc gia Hồ Chí Minh,Nguyễn Minh Triết,ALUMNI_OF,
Trường Luật học Đế quốc,Ivan Logginovich Goremykin,ALUMNI_OF,
Đại học Công nghệ Quốc gia Ural,Boris Nikolayevich Yeltsin,ALUMNI_OF,
Đại học Kỹ thuật Quốc gia Moskva Bauman,Georgy Maksimilianovich Malenkov,ALUMNI_OF,
Đại học Quốc gia Moskva Lomonosov,Yegor Timurovich Gaidar,ALUMNI_OF,
Đại học Quốc gia Moskva,Yevgeny Maksimovich Primakov,ALUMNI_OF,
Đại học Hebrew của Jerusalem,Ehud Olmert,ALUMNI_OF,
Đại học London,Chaim Herzog,ALUMNI_OF,
Đại học Hebrew của Jerusalem,Reuven Rivlin,ALUMNI_OF,
Đại học Hebrew của Jerusalem,Ariel Sharon,ALUMNI_OF,
Đại học Hebrew của Jerusalem,Ehud Barak,ALUMNI_OF,
Đại học Stanford,Ehud Barak,ALUMNI_OF,
Đại học Wisconsin–Milwaukee,Golda Meir,ALUMNI_OF,
Đại học Tổng hợp Sankt-Peterburg,Vladimir Ilyich Lenin,ALUMNI_OF,
Đại học Cornell,Isaac Herzog,ALUMNI_OF,
Đại học New York,Isaac Herzog,ALUMNI_OF,
Đại học Istanbul,Moshe Sharett,ALUMNI_OF,
Trường Kinh tế Luân Đôn,Moshe Sharett,ALUMNI_OF,
Đại học Hebrew Jerusalem,Naftali Bennett,ALUMNI_OF,
Đại học Khoa học và Công nghệ Iran,Mahmud Ahmadinezhad,ALUMNI_OF,
Đại học Columbia,Daniel D. Tompkins,ALUMNI_OF,
University of Vermont,William A. Wheeler,ALUMNI_OF,
Rutgers University–New Brunswick,Garret Hobart,ALUMNI_OF,
Ohio Wesleyan University,Charles W. Fairbanks,ALUMNI_OF,
Hamilton College,James S. Sherman,ALUMNI_OF,
Đại học Oxford,George Osborne,ALUMNI_OF,
Đại học Stanford,Rishi Sunak,ALUMNI_OF,
Đại học Oxford,William Hague,ALUMNI_OF,
Đại học Dartmouth,Nelson Rockefeller,ALUMNI_OF,
Đại học Cambridge,William Pitt Trẻ,ALUMNI_OF,
Eton College,George Grenville,ALUMNI_OF,
Eton College,George Canning,ALUMNI_OF,
Đại học Oxford,"Henry Addington, Tử tước Sidmouth thứ 1",ALUMNI_OF,
Đại học Edinburgh,"Henry John Temple, Tử tước Palmerston thứ 3",ALUMNI_OF,
Đại học Cambridge,"Henry John Temple, Tử tước Palmerston thứ 3",ALUMNI_OF,
Đại học Cambridge,Spencer Perceval,ALUMNI_OF,
Đại học Cambridge,Stanley Baldwin,ALUMNI_OF,
Mason College,Neville Chamberlain,ALUMNI_OF,
University of Birmingham,Neville Chamberlain,ALUMNI_OF,
Eton College,"Arthur Wellesley, Công tước thứ 1 xứ Wellington",ALUMNI_OF,
Eton College,Anthony Eden,ALUMNI_OF,
Eton College,Alec Douglas-Home,ALUMNI_OF,
"Birkbeck, Đại học London",Ramsay MacDonald,ALUMNI_OF,
Đại học Oxford,James Callaghan,ALUMNI_OF,
Đại học Damascus,Wael Nader al-Halqi,ALUMNI_OF,
Học viện Quân sự Homs,Hafez al-Assad,ALUMNI_OF,
Eton College,Boris Johnson,ALUMNI_OF,
