src_person,dst_person,relation
Abe Nobuyuki,Hatoyama Yukio,LINKS_TO
Abe Nobuyuki,Kan Naoto,LINKS_TO
Abe Nobuyuki,Noda Yoshihiko,LINKS_TO
Abe Nobuyuki,Suga Yoshihide,LINKS_TO
Abe Nobuyuki,Kishida Fumio,LINKS_TO
Abe Nobuyuki,Ishiba Shigeru,LINKS_TO
Abe Nobuyuki,Takaichi Sanae,LINKS_TO
Ahmad Massoud,Abdullah Abdullah,LINKS_TO
Ahmet Necdet Sezer,Abdullah Gül,LINKS_TO
Ahmet Necdet Sezer,Recep Tayyip Erdoğan,LINKS_TO
Ahmet Necdet Sezer,Süleyman Demirel,LINKS_TO
Ahmet Necdet Sezer,Turgut Özal,LINKS_TO
Adolfo Suárez,Francisco Franco,LINKS_TO
Adolfo Suárez,Mariano Rajoy,LINKS_TO
Adolfo Suárez,Pedro Sánchez,LINKS_TO
Abdel Fattah el-Sisi,Adly Mansour,LINKS_TO
Abdel Fattah el-Sisi,Mohamed Morsi,LINKS_TO
Abdel Fattah el-Sisi,Hosni Mubarak,LINKS_TO
Abdel Fattah el-Sisi,Anwar Al-Sadad,LINKS_TO
Alar Karis,Kaja Kallas,LINKS_TO
Ahmet Davutoğlu,Recep Tayyip Erdoğan,LINKS_TO
Ahmet Davutoğlu,Numan Kurtulmuş,LINKS_TO
Ahmet Davutoğlu,Süleyman Demirel,LINKS_TO
Ahmet Davutoğlu,Turgut Özal,LINKS_TO
Ahmet Davutoğlu,Abdullah Gül,LINKS_TO
Alain Poher,Charles de Gaulle,LINKS_TO
Alain Poher,Georges Pompidou,LINKS_TO
Alain Poher,Valéry Giscard d'Estaing,LINKS_TO
Alain Poher,Jean Casimir-Perier,LINKS_TO
Alain Poher,Émile Loubet,LINKS_TO
Alain Poher,Armand Fallières,LINKS_TO
Alain Poher,Raymond Poincaré,LINKS_TO
Alain Poher,Paul Deschanel,LINKS_TO
Alain Poher,Alexandre Millerand,LINKS_TO
Alain Poher,Gaston Doumergue,LINKS_TO
Alain Poher,Paul Doumer,LINKS_TO
Alain Poher,Vincent Auriol,LINKS_TO
Alain Poher,René Coty,LINKS_TO
Alain Poher,François Mitterrand,LINKS_TO
Alain Poher,Jacques Chirac,LINKS_TO
Alain Poher,Nicolas Sarkozy,LINKS_TO
Alain Poher,François Hollande,LINKS_TO
Alain Poher,Emmanuel Macron,LINKS_TO
Abiy Ahmed,Mulatu Teshome,LINKS_TO
Abiy Ahmed,Hailemariam Desalegn,LINKS_TO
Abiy Ahmed,Theodore Roosevelt,LINKS_TO
Abiy Ahmed,Woodrow Wilson,LINKS_TO
Abiy Ahmed,Charles G. Dawes,LINKS_TO
Abiy Ahmed,George Marshall,LINKS_TO
Abiy Ahmed,Philip Noel-Baker,LINKS_TO
Abiy Ahmed,Dag Hammarskjöld,LINKS_TO
Abiy Ahmed,Henry Kissinger,LINKS_TO
Abiy Ahmed,Satō Eisaku,LINKS_TO
Abiy Ahmed,Anwar Al-Sadad,LINKS_TO
Abiy Ahmed,Menachem Begin,LINKS_TO
Abiy Ahmed,Óscar Arias,LINKS_TO
Abiy Ahmed,Mikhail Sergeyevich Gorbachyov,LINKS_TO
Abiy Ahmed,Aung San Suu Kyi,LINKS_TO
Abiy Ahmed,Nelson Mandela,LINKS_TO
Abiy Ahmed,Shimon Peres,LINKS_TO
Abiy Ahmed,Kim Dae-jung,LINKS_TO
Abiy Ahmed,Kofi Annan,LINKS_TO
Abiy Ahmed,Jimmy Carter,LINKS_TO
Abiy Ahmed,Mohamed ElBaradei,LINKS_TO
Abiy Ahmed,Muhammad Yunus,LINKS_TO
Abiy Ahmed,Martti Ahtisaari,LINKS_TO
Abiy Ahmed,Barack Obama,LINKS_TO
Abiy Ahmed,Ellen Johnson Sirleaf,LINKS_TO
Abiy Ahmed,Malala Yousafzai,LINKS_TO
Abiy Ahmed,Juan Manuel Santos,LINKS_TO
Abiy Ahmed,Maria Ressa,LINKS_TO
Alain Juppé,Jacques Chirac,LINKS_TO
Alain Juppé,François Fillon,LINKS_TO
Alain Juppé,Laurent Fabius,LINKS_TO
Alain Juppé,Jacques Chaban-Delmas,LINKS_TO
Alain Juppé,Nicolas Sarkozy,LINKS_TO
Alain Juppé,François Hollande,LINKS_TO
Alain Juppé,Charles-Maurice de Talleyrand-Périgord,LINKS_TO
Alain Juppé,François Arago,LINKS_TO
Alain Juppé,Armand Fallières,LINKS_TO
Alain Juppé,Émile Loubet,LINKS_TO
Alain Juppé,Jean Casimir-Perier,LINKS_TO
Alain Juppé,Georges Clemenceau,LINKS_TO
Alain Juppé,Raymond Poincaré,LINKS_TO
Alain Juppé,Gaston Doumergue,LINKS_TO
Alain Juppé,Alexandre Millerand,LINKS_TO
Alain Juppé,Charles de Gaulle,LINKS_TO
Alain Juppé,Vincent Auriol,LINKS_TO
Alain Juppé,Pierre Mendès France,LINKS_TO
Alain Juppé,Michel Debré,LINKS_TO
Alain Juppé,Georges Pompidou,LINKS_TO
Alain Juppé,Michel Rocard,LINKS_TO
Alain Juppé,Dominique de Villepin,LINKS_TO
Alain Juppé,Jean-Marc Ayrault,LINKS_TO
Alain Juppé,Manuel Valls,LINKS_TO
Alain Juppé,Bernard Cazeneuve,LINKS_TO
Alain Juppé,Édouard Philippe,LINKS_TO
Alain Juppé,Gabriel Attal,LINKS_TO
Alain Juppé,Michel Barnier,LINKS_TO
Alben W. Barkley,Harry S. Truman,LINKS_TO
Alben W. Barkley,Richard Nixon,LINKS_TO
Alben W. Barkley,Franklin D. Roosevelt,LINKS_TO
Alan García,Ollanta Humala,LINKS_TO
Alan García,Alberto Fujimori,LINKS_TO
Alan García,José Jerí,LINKS_TO
Alban Berg,Gustav Mahler,LINKS_TO
Aleksander Kwaśniewski,Włodzimierz Cimoszewicz,LINKS_TO
Aleksander Kwaśniewski,Jerzy Buzek,LINKS_TO
Aleksander Kwaśniewski,Lech Kaczyński,LINKS_TO
Alenka Bratušek,Borut Pahor,LINKS_TO
Alenka Bratušek,Janez Janša,LINKS_TO
Albert Speer,Joseph Goebbels,LINKS_TO
Albert Speer,Lutz Graf Schwerin von Krosigk,LINKS_TO
Alberto Fujimori,Alan García,LINKS_TO
Alberto Fujimori,Ollanta Humala,LINKS_TO
Alberto Fujimori,José Jerí,LINKS_TO
Alexandre Millerand,Raymond Poincaré,LINKS_TO
Alexandre Millerand,Paul Deschanel,LINKS_TO
Alexandre Millerand,Gaston Doumergue,LINKS_TO
Alexandre Millerand,Georges Clemenceau,LINKS_TO
Alexandre Millerand,Jean Casimir-Perier,LINKS_TO
Alexandre Millerand,Émile Loubet,LINKS_TO
Alexandre Millerand,Armand Fallières,LINKS_TO
Alexandre Millerand,Paul Doumer,LINKS_TO
Alexandre Millerand,Vincent Auriol,LINKS_TO
Alexandre Millerand,René Coty,LINKS_TO
Alexandre Millerand,Charles de Gaulle,LINKS_TO
Alexandre Millerand,Georges Pompidou,LINKS_TO
Alexandre Millerand,Valéry Giscard d'Estaing,LINKS_TO
Alexandre Millerand,François Mitterrand,LINKS_TO
Alexandre Millerand,Jacques Chirac,LINKS_TO
