title,type,link,related,properties
Abdoulkader Kamil Mohamed,person,https://vi.wikipedia.org/wiki/Abdoulkader_Kamil_Mohamed,[],"{""Tổng thống"": ""Ismaïl Omar Guelleh"", ""Tiền nhiệm"": ""Dileita Mohamed Dileita"", ""Sinh"": [""1951 (73–74 tuổi)"", ""Souali"", "","", ""Djibouti""], ""Đảng chính trị"": ""Đảng Nhân dân Tiến bộ"", ""Alma mater"": ""Đại học Limoges""}"
Abdurrahman Wahid,person,https://vi.wikipedia.org/wiki/Abdurrahman_Wahid,"[""Megawati Sukarnoputri""]","{""Phó Tổng thống"": ""Megawati Sukarnoputri"", ""Tiền nhiệm"": ""Bacharuddin Jusuf Habibie"", ""Kế nhiệm"": ""Megawati Sukarnoputri"", ""Sinh"": [""Abdurrahman Addakhil"", ""7 tháng 9"", ""năm"", ""1940"", ""Jombang"", "","", ""Đông Java"", "","", ""Đông Ấn thuộc Hà Lan""], ""Mất"": [""30 tháng 12"", ""năm"", ""2009"", ""(69 tuổi)"", ""Jakarta"", "","", ""Indonesia""], ""Nơi an nghỉ"": ""Jombang , Đông Java , Indonesia"", ""Đảng chính trị"": ""Đảng Thức tỉnh Dân tộc"", ""Phối ngẫu"": ""Sinta Nuriyah"", ""Con cái"": ""4"", ""Alma mater"": [""Trường Ngữ pháp Karachi"", ""["", ""1"", ""]"", ""Đại học Al-Azhar"", ""("", ""Islamic studies"", ""1967)"", ""Đại học Baghdad""], ""Chữ ký"": """", ""Website"": ""www .gusdur .net""}"
Abiy Ahmed,person,https://vi.wikipedia.org/wiki/Abiy_Ahmed,"[""Anwar Al-Sadad"", ""Aung San Suu Kyi"", ""Barack Obama"", ""Charles G. Dawes"", ""Dag Hammarskjöld"", ""Ellen Johnson Sirleaf"", ""George Marshall"", ""Hailemariam Desalegn"", ""Henry Kissinger"", ""Jimmy Carter"", ""Juan Manuel Santos"", ""Kim Dae-jung"", ""Kofi Annan"", ""Malala Yousafzai"", ""Maria Ressa"", ""Martti Ahtisaari"", ""Menachem Begin"", ""Mikhail Sergeyevich Gorbachyov"", ""Mohamed ElBaradei"", ""Muhammad Yunus"", ""Mulatu Teshome"", ""Nelson Mandela"", ""Philip Noel-Baker"", ""Satō Eisaku"", ""Shimon Peres"", ""Theodore Roosevelt"", ""Woodrow Wilson"", ""Óscar Arias"", ""Đại học Greenwich""]","{""Tổng thống"": ""Mulatu Teshome"", ""Cấp phó"": ""Lemma Megersa"", ""Tiền nhiệm"": ""Teklebirhan Woldearegay"", ""Thủ tướng"": ""Hailemariam Desalegn"", ""Kế nhiệm"": ""Teklebirhan Woldearegay"", ""Sinh"": [""15 tháng 8, 1976"", ""(49 tuổi)"", ""Beshasha"", "","", ""Tỉnh Kaffa"", "","", ""Ethiopia Xã hội chủ nghĩa""], ""Đảng chính trị"": ""Oromo Peoples' Democratic Organization"", ""Đảng khác"": ""Lực lượng Dân chủ Cách nạng Nhân dân Ethiopia"", ""Phối ngẫu"": ""Zinash Tayachew"", ""Con cái"": ""ba con gái"", ""Giáo dục"": [""Microlink Information Technology College"", ""("", ""BA"", "")"", ""Đại học Greenwich"", ""("", ""MA"", "")"", ""Đại học Ashland"", ""("", ""MBA"", "")"", ""Đại học Addis Ababa"", ""("", ""PhD"", "")""], ""Thuộc"": ""Ethiopia"", ""Phục vụ"": ""Ethiopian Army"", ""Năm tại ngũ"": ""1991–2010"", ""Cấp bậc"": ""Trung tá"", ""Đơn vị"": ""Army Signals Corps"", ""Chỉ huy"": ""Information Network Security Agency"", ""Tham chiến"": [""Nội chiến Ethiopia"", ""United Nations Assistance Mission for Rwanda"", ""Eritrean–Ethiopian War""]}"
Abe Nobuyuki,person,https://vi.wikipedia.org/wiki/Abe_Nobuyuki,"[""Abe Shinzō"", ""Asō Tarō"", ""Fukuda Yasuo"", ""Gotō Fumio"", ""Hara Takashi"", ""Hatoyama Yukio"", ""Hiranuma Kiichirō"", ""Inukai Tsuyoshi"", ""Ishiba Shigeru"", ""Itō Hirobumi"", ""Itō Masayoshi"", ""Kan Naoto"", ""Katō Takaaki"", ""Katō Tomosaburō"", ""Kishida Fumio"", ""Mori Yoshirō"", ""Noda Yoshihiko"", ""Saionji Kinmochi"", ""Saitō Makoto"", ""Suga Yoshihide"", ""Takaichi Sanae"", ""Tanaka Giichi"", ""Wakatsuki Reijirō""]","{""Thiên hoàng"": ""Chiêu Hoà"", ""Tiền nhiệm"": ""Kuniaki Koiso"", ""Kế nhiệm"": [""Chức vụ bị bãi bỏ"", ""Kim Il-Sung"", ""("", ""Thủ tướng Triều Tiên"", "")"", ""Syngman Rhee"", ""("", ""Tổng thống Hàn Quốc"", "")""], ""Sinh"": [""24 tháng 11"", ""năm"", ""1875"", ""Kanazawa"", "","", ""Đế quốc Nhật Bản""], ""Mất"": [""7 tháng 9"", ""năm"", ""1953"", ""(77 tuổi)"", ""Tokyo"", "","", ""Nhật Bản""], ""Đảng chính trị"": ""Taisei Yokusankai (1940–1945)"", ""Đảng khác"": ""Độc lập (Trước năm 1940)"", ""Alma mater"": [""Học viện Lục quân Đế quốc Nhật Bản"", ""Đại học Chiến tranh Lục quân""], ""Chuyên môn"": ""Tướng lĩnh"", ""Chữ ký"": """"}"
Aaron Sorkin,person,https://vi.wikipedia.org/wiki/Aaron_Sorkin,[],"{""Sinh"": """", ""Tên khai sinh"": ""Aaron Benjamin Sorkin"", ""Ngày sinh"": ""9 tháng 6, 1961"", ""Nơi sinh"": ""Thành phố New York"", ""Giới tính"": ""nam"", ""Quốc tịch"": ""Hoa Kỳ"", ""Nghề nghiệp"": ""nhà biên kịch , nhà sản xuất phim , nhà viết kịch , nhà văn , diễn viên , nhà thiết kế bối cảnh, diễn viên điện ảnh , nhà sản xuất phim truyền hình , nhà sản xuất truyền hình , đạo diễn phim"", ""Gia đình"": """", ""Hôn nhân"": ""Julia Bingham"", ""Năm hoạt động"": ""1984 – nay"", ""Đào tạo"": ""Đại học Syracuse, Scarsdale High School"", ""Thành viên của"": ""Hội Nhà văn Tây Hoa Kỳ"", ""Tác phẩm"": ""The West Wing , Molly's Game , Giết con chim nhại , Sports Night"", ""Giải thưởng"": ""Giải thưởng của Hiệp hội Nhà văn Hoa Kỳ, Giải Oscar cho Kịch bản chuyển thể xuất sắc nhất , Giải của Hội phê bình phim New York cho kịch bản hay nhất , Satellite Award for Best Adapted Screenplay, Giải Quả cầu vàng cho kịch bản hay nhất , Primetime Emmy Award for Outstanding Writing for a Drama Series, National Humanities Medal""}"
A. P. J. Abdul Kalam,person,https://vi.wikipedia.org/wiki/A._P._J._Abdul_Kalam,"[""Atal Bihari Vajpayee"", ""B. D. Jatti"", ""Droupadi Murmu"", ""Fakhruddin Ali Ahmed"", ""K. R. Narayanan"", ""Manmohan Singh"", ""Mohammad Hidayatullah"", ""Neelam Sanjiva Reddy"", ""Pranab Mukherjee"", ""Pratibha Patil"", ""R. Venkataraman"", ""Rajendra Prasad"", ""Ram Nath Kovind"", ""Sarvepalli Radhakrishnan"", ""Shankar Dayal Sharma"", ""V. V. Giri"", ""Zail Singh"", ""Zakir Husain (chính trị gia)""]","{""Thủ tướng"": [""Atal Bihari Vajpayee"", ""Manmohan Singh""], ""Phó Tổng thống"": [""Krishan Kant"", ""Bhairon Singh Shekhawat""], ""Tiền nhiệm"": ""K. R. Narayanan"", ""Kế nhiệm"": ""Pratibha Patil"", ""Sinh"": [""Avul Pakir Jainulabdeen Abdul Kalam"", ""15 tháng 10"", ""năm"", ""1931"", ""Rameswaram"", "", Quận Ramnad,"", ""Tỉnh Madras"", "","", ""Ấn Độ thuộc Anh"", ""(nay là"", ""Quận Ramanathapuram"", "","", ""Tamil Nadu"", "","", ""Ấn Độ"", "")""], ""Mất"": [""27 tháng 7"", ""năm"", ""2015"", ""(83 tuổi)"", ""Shillong"", "","", ""Meghalaya"", "","", ""Ấn Độ""], ""Alma mater"": [""Đại học St. Joseph, Tiruchirappalli"", ""Viện công nghệ Madras""], ""Chuyên môn"": [""Giáo sư"", ""Nhà sáng tác"", ""Nhà khoa học vũ trụ""], ""Chữ ký"": """", ""Website"": ""abdulkalam .com""}"
Abdel Fattah el-Sisi,person,https://vi.wikipedia.org/wiki/Abdel_Fattah_el-Sisi,"[""Adly Mansour"", ""Anwar Al-Sadad"", ""Hosni Mubarak"", ""Mohamed Morsi""]","{""Thủ tướng"": [""Hesham Qandil"", ""Hazem al-Beblawi"", ""Ibrahim Mahlab""], ""Tiền nhiệm"": ""Murad Muwafi"", ""Kế nhiệm"": ""Mahmoud Hegazy"", ""Sinh"": [""Abdel Fattah Saeed Hussein Khalil el-Sisi"", ""19 tháng 11"", ""năm"", ""1954"", ""(70 tuổi)"", ""Cairo"", "","", ""Tỉnh Cairo"", "","", ""Ai Cập""], ""Đảng chính trị"": ""Độc lập"", ""Phối ngẫu"": ""Entissar Amer (cưới 1977)"", ""Con cái"": [""Mustafa"", ""Mahmoud"", ""Hassan"", ""Aya""], ""Alma mater"": ""Học viện Quân sự Ai Cập"", ""Tôn giáo"": ""Hồi giáo Sunni"", ""Chữ ký"": """", ""Thuộc"": ""Ai Cập"", ""Phục vụ"": ""Lục quân Ai Cập"", ""Năm tại ngũ"": ""1977–2014"", ""Cấp bậc"": ""Thống chế (nghỉ hưu)"", ""Đơn vị"": ""Bộ binh"", ""Tham chiến"": [""Chiến tranh Vùng Vịnh"", ""Cuộc nổi dậy Sinai""]}"
Abdullah Abdullah,person,https://vi.wikipedia.org/wiki/Abdullah_Abdullah,"[""Ashraf Ghani"", ""Hamid Karzai"", ""Joe Biden""]","{""Nhiệm kỳ"": ""18 tháng 3 năm 2010 – nay"", ""Tiền nhiệm"": ""Abdul Rahim Ghafoorzai"", ""Kế nhiệm"": ""Rangin Dadfar Spanta"", ""Sinh"": [""5 tháng 9, 1960"", ""(65 tuổi)"", ""["", ""cần dẫn nguồn"", ""]"", ""Kārte Parwān"", "","", ""Vương quốc Afghanistan""], ""Đảng chính trị"": ""Liên minh quốc gia Afghanistan (1996–nay)"", ""Con cái"": ""4"", ""Alma mater"": ""Đại học Y khoa Kabul"", ""Website"": ""Official website""}"
Adlai Stevenson I,person,https://vi.wikipedia.org/wiki/Adlai_Stevenson_I,"[""Alben W. Barkley"", ""Calvin Coolidge"", ""Charles G. Dawes"", ""Charles W. Fairbanks"", ""Chester A. Arthur"", ""Daniel D. Tompkins"", ""Dick Cheney"", ""Elbridge Gerry"", ""Garret Hobart"", ""George H. W. Bush"", ""George M. Dallas"", ""Gerald Ford"", ""Harry S. Truman"", ""Henry A. Wallace"", ""Hubert Humphrey"", ""JD Vance"", ""James S. Sherman"", ""Joe Biden"", ""John Adams"", ""John C. Breckinridge"", ""John C. Calhoun"", ""John Nance Garner"", ""John Tyler"", ""Kamala Harris"", ""Lyndon B. Johnson"", ""Mike Pence"", ""Nelson Rockefeller"", ""Richard Mentor Johnson"", ""Richard Nixon"", ""Theodore Roosevelt"", ""Thomas A. Hendricks"", ""Thomas Jefferson"", ""Thomas R. Marshall"", ""Walter Mondale"", ""William A. Wheeler"", ""William R. King""]","{""Tổng thống"": ""Grover Cleveland"", ""Tiền nhiệm"": ""John McNulta"", ""Kế nhiệm"": ""Thomas F. Tipton"", ""Sinh"": [""Adlai Ewing Stevenson"", ""("", ""1835-10-23"", "")"", ""23 tháng 10, 1835"", ""Christian County, Kentucky"", "","", ""Hoa Kỳ""], ""Mất"": [""14 tháng 6, 1914"", ""(1914-06-14)"", ""(78 tuổi)"", ""Chicago"", "","", ""Illinois"", "","", ""Hoa Kỳ""], ""Nơi an nghỉ"": ""Nghĩa trang Evergreen"", ""Đảng chính trị"": ""Dân chủ"", ""Phối ngẫu"": ""Letitia Green"", ""Con cái"": ""4, bao gồm Lewis"", ""Giáo dục"": [""Illinois Wesleyan University"", ""Centre College"", ""("", ""BA"", "")""], ""Chữ ký"": """"}"
Abdullah Gül,person,https://vi.wikipedia.org/wiki/Abdullah_G%C3%BCl,"[""Ahmet Necdet Sezer"", ""Recep Tayyip Erdoğan"", ""Süleyman Demirel"", ""Turgut Özal"", ""Đại học Exeter"", ""Đại học Istanbul""]","{""Thủ tướng"": ""Necmettin Erbakan"", ""Tiền nhiệm"": ""Yaşar Yakış"", ""Kế nhiệm"": ""Ali Babacan"", ""Tổng thống"": ""Ahmet Necdet Sezer"", ""Phó Thủ tướng"": [""Abdüllatif Şener"", ""Mehmet Ali Şahin"", ""Ertuğrul Yalçınbayır""], ""Cùng với"": [""Abdüllatif Şener"", ""Mehmet Ali Şahin""], ""Sinh"": [""29 tháng 10"", ""năm"", ""1950"", ""(73 tuổi)"", ""Kayseri"", "","", ""Thổ Nhĩ Kỳ""], ""Đảng chính trị"": [""Đảng Phúc lợi"", ""(Trước 1997)"", ""Đảng Đức hạnh"", ""(1997–2001)"", ""Đảng Công lý và Phát triển"", ""(2001–2007)"", ""Độc lập"", ""(2007–nay)""], ""Phối ngẫu"": ""Hayrünnisa Özyurt (1980–nay)"", ""Con cái"": [""Ahmet Münir"", ""Kübra"", ""Mehmet Emre""], ""Alma mater"": [""Đại học Istanbul"", ""Đại học Exeter""], ""Chữ ký"": """", ""Website"": ""Official website""}"
Adly Mansour,person,https://vi.wikipedia.org/wiki/Adly_Mansour,"[""Abdel Fattah el-Sisi"", ""Anwar Al-Sadad"", ""Hosni Mubarak"", ""Mohamed ElBaradei"", ""Mohamed Morsi"", ""École nationale d'administration"", ""Đại học Cairo""]","{""Bổ nhiệm"": ""Mohamed Morsi"", ""Tiền nhiệm"": ""Mohamed Morsi"", ""Kế nhiệm"": ""Abdel Fattah el-Sisi"", ""Thủ tướng"": [""Hazem Al Beblawi"", ""Ibrahim Mahlab""], ""Phó Tổng thống"": ""Mohamed ElBaradei (Quyền)"", ""Sinh"": [""23 tháng 12, 1945"", ""(79 tuổi)"", ""Cairo"", "","", ""Vương quốc Ai Cập""], ""Đảng chính trị"": ""Độc lập"", ""Alma mater"": [""Đại học Cairo"", ""École nationale d'administration""], ""Chữ ký"": """"}"
Abhisit Vejjajiva,person,https://vi.wikipedia.org/wiki/Abhisit_Vejjajiva,"[""Anutin Charnvirakul"", ""Chavarat Charnvirakul"", ""Chuan Leekpai"", ""Eton College"", ""Kukrit Pramoj"", ""Lý Hiển Long"", ""Nguyễn Minh Triết"", ""Niwatthamrong Boonsongpaisan"", ""Paetongtarn Shinawatra"", ""Phumtham Wechayachai"", ""Prawit Wongsuwan"", ""Prayut Chan-o-cha"", ""Prem Tinsulanonda"", ""Samak Sundaravej"", ""Seni Pramoj"", ""Somchai Wongsawat"", ""Srettha Thavisin"", ""Surayud Chulanont"", ""Suthep Thaugsuban"", ""Thaksin Shinawatra"", ""Yingluck Shinawatra"", ""Đại học Oxford"", ""Đại học Thammasat""]","{""Quốc vương"": ""Bhumibol Adulyadej"", ""Tiền nhiệm"": ""Banyat Bantadtan"", ""Kế nhiệm"": ""Chalerm Yubamrung"", ""Phó thủ tướng"": [""Kobsak Sabhavasu"", ""Trairong Suwankiri"", ""Suthep Thaugsuban""], ""Thủ tướng"": [""Thaksin Shinawatra"", ""Chitchai Wannasathit"", ""(Quyền)"", ""Samak Sundaravej"", ""Somchai Wongsawat"", ""Chavarat Charnvirakul"", ""(Quyền)""], ""Sinh"": [""Mark Abhisit Vejjajiva"", ""3 tháng 8, 1964"", ""(61 tuổi)"", ""Wallsend"", "","", ""Northumberland"", "","", ""Anh"", ""["", ""1"", ""]"", ""["", ""2"", ""]""], ""Đảng chính trị"": ""Đảng Dân chủ"", ""Phối ngẫu"": ""Pimpen Vejjajiva"", ""Con cái"": [""Prang"", ""Punnasit"", ""["", ""3"", ""]""], ""Alma mater"": [""Eton College"", ""St John's College, Oxford"", ""Ramkhamhaeng University""], ""Chuyên môn"": ""Chuyên gia kinh tế [ 4 ]"", ""Chữ ký"": """"}"
Ahmad Massoud,person,https://vi.wikipedia.org/wiki/Ahmad_Massoud,"[""Abdullah Abdullah"", ""Đại học Hoàng đế Luân Đôn"", ""Đại học London""]","{""Nhiệm kỳ"": ""17 tháng 8 năm 2021 –"", ""Tiền nhiệm"": ""Ahmad Shah Massoud ( Chỉ huy Liên minh phương Bắc )"", ""Sinh"": [""10 tháng 7, 1989"", ""(36 tuổi)"", ""Warsaj"", "","", ""Afghanistan""], ""Nghề nghiệp"": ""CEO của Quỹ Massoud"", ""Cha mẹ"": ""Ahmad Shah Massoud Sediqa Massoud"", ""Alma mater"": [""Đại học Hoàng đế Luân Đôn"", ""Đại học London""], ""Phục vụ"": ""Mặt trận kháng chiến quốc gia Afghanistan"", ""Năm tại ngũ"": ""5 tháng 9 năm 2019–nay"", ""Chỉ huy"": ""Kháng chiến Panjshir"", ""Tham chiến"": ""Xung đột Panjshir""}"
Ahmed Kathrada,person,https://vi.wikipedia.org/wiki/Ahmed_Kathrada,"[""Barack Obama""]","{""Khu vực bầu cử"": ""Lenasia"", ""Sinh"": [""Ahmed Mohamed Kathrada"", ""("", ""1929-08-21"", "")"", ""21 tháng 8 năm 1929"", ""Schweizer-Reneke"", "","", ""Transvaal Province"", "","", ""Union of South Africa""], ""Mất"": [""28 tháng 3 năm 2017"", ""(2017-03-28)"", ""(87 tuổi)"", ""Johannesburg"", "", South Africa""], ""Đảng chính trị"": [""Đại hội Dân tộc Phi"", ""Đảng Cộng sản Nam Phi""], ""Phối ngẫu"": ""Barbara Hogan"", ""Alma mater"": ""Đại học Nam Phi"", ""Website"": ""kathradafoundation.org""}"
Ahmet Davutoğlu,person,https://vi.wikipedia.org/wiki/Ahmet_Davuto%C4%9Flu,"[""Abdullah Gül"", ""Numan Kurtulmuş"", ""Recep Tayyip Erdoğan"", ""Süleyman Demirel"", ""Turgut Özal""]","{""Tổng thống"": ""Recep Tayyip Erdoğan"", ""Cấp phó"": [""Cabinet I"", ""(2014–15)"", ""Bülent Arınç"", ""Ali Babacan"", ""Yalçın Akdoğan"", ""Numan Kurtulmuş"", ""Cabinet II"", ""(2015–)"", ""Yalçın Akdoğan"", ""Numan Kurtulmuş"", ""Cevdet Yılmaz"", ""Tuğrul Türkeş""], ""Tiền nhiệm"": ""Ali Babacan"", ""Kế nhiệm"": ""Mevlüt Çavuşoğlu"", ""Thủ tướng"": ""Recep Tayyip Erdoğan"", ""Sinh"": [""26 tháng 2, 1959"", ""(66 tuổi)"", ""Konya"", "","", ""Thổ Nhĩ Kỳ""], ""Đảng chính trị"": ""Đảng Công lý và Phát triển"", ""Phối ngẫu"": ""Sare Davutoğlu (1984–nay)"", ""Con cái"": [""Sefure"", ""Meymune"", ""Mehmet"", ""Hacer Bike""], ""Alma mater"": ""Đại học Boğaziçi"", ""Chữ ký"": """"}"
Alain Poher,person,https://vi.wikipedia.org/wiki/Alain_Poher,"[""Alexandre Millerand"", ""Armand Fallières"", ""Charles de Gaulle"", ""Emmanuel Macron"", ""François Hollande"", ""François Mitterrand"", ""Gaston Doumergue"", ""Georges Pompidou"", ""Jacques Chirac"", ""Jean Casimir-Perier"", ""Nicolas Sarkozy"", ""Paul Deschanel"", ""Paul Doumer"", ""Raymond Poincaré"", ""René Coty"", ""Sciences Po"", ""Valéry Giscard d'Estaing"", ""Vincent Auriol"", ""École nationale supérieure des mines de Paris"", ""Émile Loubet""]","{""Tiền nhiệm"": ""Victor Leemans"", ""Kế nhiệm"": ""Mario Scelba"", ""Sinh"": [""Alain Émile Louis Marie Poher"", ""17 tháng 4"", ""năm"", ""1909"", ""Ablon-sur-Seine"", "","", ""Đệ tam Cộng hòa Pháp""], ""Mất"": [""9 tháng 12"", ""năm"", ""1996"", ""(87 tuổi)"", ""Toulouse"", "","", ""Pháp""], ""Đảng chính trị"": [""Phong trào Cộng hoà Nhân dân"", ""(Trước 1967)"", ""Trung tâm Dân chủ"", ""(1967–1976)"", ""Trung tâm Dân chủ Xã hội"", ""(1976–1995)"", ""Lực lượng Dân chủ"", ""(1995–1996)""], ""Đảng khác"": ""Liên minh vì Nền Dân chủ Pháp (1978–1996)"", ""Phối ngẫu"": ""Henriette Tugler"", ""Con cái"": [""Marie-Agnès"", ""Marie-Therese""], ""Alma mater"": [""Mines ParisTech"", ""Sciences Po""]}"
Alar Karis,person,https://vi.wikipedia.org/wiki/Alar_Karis,"[""Kaja Kallas"", ""Đại học Tartu""]","{""Thủ tướng"": ""Kaja Kallas"", ""Tiền nhiệm"": ""Henn Elmet"", ""Kế nhiệm"": ""Mait Klaassen"", ""Sinh"": [""26 tháng 3, 1958"", ""(67 tuổi)"", ""Tartu"", "", Estonia""], ""Đảng chính trị"": ""Không đảng phái"", ""Phối ngẫu"": ""Sirje Karis (cưới 1977)"", ""Con cái"": ""3"", ""Alma mater"": ""Đại học Khoa học Đời sống Estonia""}"
Ahmet Necdet Sezer,person,https://vi.wikipedia.org/wiki/Ahmet_Necdet_Sezer,"[""Abdullah Gül"", ""Recep Tayyip Erdoğan"", ""Süleyman Demirel"", ""Turgut Özal""]","{""Thủ tướng"": ""Bülent Ecevit Abdullah Gül Recep Tayyip Erdoğan"", ""Tiền nhiệm"": ""Yekta Güngör Özden"", ""Kế nhiệm"": ""Mustafa Bumin"", ""Sinh"": [""13 tháng 9, 1941"", ""(84 tuổi)"", ""Afyonkarahisar"", "","", ""Thổ Nhĩ Kỳ""], ""Phối ngẫu"": ""Semra Sezer"", ""Con cái"": ""3"", ""Alma mater"": ""Đại học Ankara, Trường Luật"", ""Chuyên môn"": ""Thẩm phán"", ""Chữ ký"": """"}"
Abe Shinzō,person,https://vi.wikipedia.org/wiki/Abe_Shinz%C5%8D,"[""Abe Nobuyuki"", ""Angela Merkel"", ""Anthony Albanese"", ""Asō Tarō"", ""Barack Obama"", ""Boris Johnson"", ""David Cameron"", ""Donald Trump"", ""Fukuda Yasuo"", ""Gotō Fumio"", ""Hara Takashi"", ""Hatoyama Yukio"", ""Hiranuma Kiichirō"", ""Hồ Cẩm Đào"", ""Inukai Tsuyoshi"", ""Ishiba Shigeru"", ""Itō Hirobumi"", ""Itō Masayoshi"", ""Joe Biden"", ""Kamala Harris"", ""Kan Naoto"", ""Katō Katsunobu"", ""Katō Takaaki"", ""Katō Tomosaburō"", ""Kishi Nobusuke"", ""Kishida Fumio"", ""Koizumi Junichirō"", ""Lý Khắc Cường"", ""Lý Đăng Huy"", ""Manmohan Singh"", ""Mori Yoshirō"", ""Nakatani Gen"", ""Narendra Modi"", ""Nguyễn Xuân Phúc"", ""Noda Yoshihiko"", ""Park Geun-hye"", ""Pratibha Patil"", ""Saionji Kinmochi"", ""Saitō Makoto"", ""Satō Eisaku"", ""Suga Yoshihide"", ""Takaichi Sanae"", ""Tanaka Giichi"", ""Tanigaki Sadakazu"", ""Thái Anh Văn"", ""Tony Abbott"", ""Trần Thủy Biển"", ""Tập Cận Bình"", ""Wakatsuki Reijirō"", ""Yoshida Shigeru"", ""Đại học Nam California"", ""Đại học Seikei""]","{""Cấp phó"": ""Kōmura Masahiko"", ""Thiên hoàng"": ""Akihito"", ""Tiền nhiệm"": ""Khu vực bầu cử mới"", ""Kế nhiệm"": ""Kōmura Masahiko"", ""Tổng Thư ký"": [""Takebe Tsutomu"", ""Nakagawa Hidenao"", ""Asō Tarō""], ""Thủ tướng"": ""Koizumi Junichirō"", ""Lãnh đạo"": ""Koizumi Junichirō"", ""Khu vực bầu cử"": ""Khu vực 1 Yamaguchi"", ""Số phiếu"": ""86.258 (58,40%)"", ""Sinh"": [""安倍晋三"", ""("", ""Abe Shinzō"", "","", ""An Bội Tấn Tam"", ""?"", "")"", ""("", ""1954-09-21"", "")"", ""21 tháng 9 năm 1954"", ""Tokyo"", "","", ""Nhật Bản""], ""Mất"": [""8 tháng 7 năm 2022"", ""(2022-07-08)"", ""(67 tuổi)"", ""Kashihara"", "","", ""Nara"", "","", ""Nhật Bản""], ""Nguyên nhân mất"": ""Bị ám sát"", ""Đảng chính trị"": ""Dân chủ Tự do"", ""Phối ngẫu"": ""Matsuzaki Akie (cưới 1987–2022)"", ""Cha mẹ"": [""Abe Shintarō"", ""Abe Yoko""], ""Alma mater"": [""Đại học Seikei"", ""("", ""BA"", "")"", ""Đại học Nam California""], ""Tôn giáo"": ""Thần đạo"", ""Chữ ký"": """"}"
Alain Juppé,person,https://vi.wikipedia.org/wiki/Alain_Jupp%C3%A9,"[""Alexandre Millerand"", ""Armand Fallières"", ""Bernard Cazeneuve"", ""Charles de Gaulle"", ""Charles-Maurice de Talleyrand-Périgord"", ""Dominique de Villepin"", ""François Arago"", ""François Fillon"", ""François Hollande"", ""Gabriel Attal"", ""Gaston Doumergue"", ""Georges Clemenceau"", ""Georges Pompidou"", ""Jacques Chaban-Delmas"", ""Jacques Chirac"", ""Jean Casimir-Perier"", ""Jean-Marc Ayrault"", ""Laurent Fabius"", ""Manuel Valls"", ""Michel Barnier"", ""Michel Debré"", ""Michel Rocard"", ""Nicolas Sarkozy"", ""Pierre Mendès France"", ""Raymond Poincaré"", ""Sciences Po"", ""Vincent Auriol"", ""École nationale d'administration"", ""Édouard Philippe"", ""Émile Loubet""]","{""Tổng thống"": ""Jacques Chirac"", ""Tiền nhiệm"": ""Henri Emmanuelli"", ""Kế nhiệm"": ""Pierre Bérégovoy"", ""Thủ tướng"": ""Jacques Chirac"", ""Sinh"": [""Alain Marie Juppé"", ""15 tháng 8, 1945"", ""(80 tuổi)"", ""Mont-de-Marsan"", "","", ""Pháp""], ""Đảng chính trị"": [""Tập hợp vì Nền Cộng hoà"", ""(Before 2002)"", ""Liên minh vì Phong trào Nhân dân"", ""(2002–2015)"", ""Đảng Cộng hoà"", ""(2015–nay)""], ""Phối ngẫu"": [""Christine Leblond"", ""(1965–1993)"", ""Isabelle Legrand-Bodin"", ""(1993–nay)""], ""Con cái"": ""3"", ""Alma mater"": [""École Normale Supérieure"", ""Sciences Po"", ""École nationale d'administration""]}"
Adolfo Suárez,person,https://vi.wikipedia.org/wiki/Adolfo_Su%C3%A1rez,"[""Francisco Franco"", ""Mariano Rajoy"", ""Pedro Sánchez""]","{""Quân chủ"": ""Juan Carlos I"", ""Cấp phó"": ""Manuel Gutiérrez Mellado"", ""Tiền nhiệm"": ""Juan Murillo de Valdivia"", ""Kế nhiệm"": ""Mariano Pérez-Hickman"", ""Tổng thống"": ""Carlos Arias Navarro"", ""Lãnh đạo"": ""Francisco Franco"", ""Sinh"": [""Adolfo Suárez González"", ""("", ""1932-09-25"", "")"", ""25 tháng 9 năm 1932"", ""Cebreros"", "","", ""Cộng hòa Tây Ban Nha""], ""Mất"": [""23 tháng 3 năm 2014"", ""(2014-03-23)"", ""(81 tuổi)"", ""Madrid"", "","", ""Vương quốc Tây Ban Nha""], ""Nơi an nghỉ"": ""Nhà thờ chính tòa Ávila"", ""Quốc tịch"": ""Tây Ban Nha"", ""Đảng chính trị"": ""CDS"", ""Đảng khác"": [""FET y de las JONS"", ""(1958 – 1977)"", ""Union of the Democratic Centre"", ""(1977 – 1982)"", ""Democratic and Social Centre"", ""(1982 – 1991)""], ""Phối ngẫu"": ""Amparo Illana Elórtegui (d. 2001)"", ""Con cái"": [""María Amparo"", ""(1963 – 2004)"", ""Adolfo"", ""(b. 1964)"", ""Laura"", ""(b. 1966)"", ""Sonsoles"", ""(b. 1967)"", ""Francisco Javier"", ""(b. 1969)""], ""Cha mẹ"": [""Hipólito Suárez Guerra"", ""Herminia González Prados""], ""Alma mater"": ""Đại học Salamanca"", ""Nghề nghiệp"": ""Nhà tư pháp"", ""Chữ ký"": """"}"
