src_university,dst_university,relation
"Trường Đại học Khoa học Xã hội và Nhân văn, Đại học Quốc gia Thành phố Hồ Chí Minh",Trường Đại học Tổng hợp Thành phố Hồ Chí Minh,UNIVERSITY_MENTIONS_UNIVERSITY
United States Military Academy,Học viện Quân sự Hoa Kỳ,UNIVERSITY_MENTIONS_UNIVERSITY
University of Athens,Đại học Athens,UNIVERSITY_MENTIONS_UNIVERSITY
"University of California, Berkeley",Đại học California tại Berkeley,UNIVERSITY_MENTIONS_UNIVERSITY
University of Chicago,Đại học Chicago,UNIVERSITY_MENTIONS_UNIVERSITY
University of Göttingen,Đại học Göttingen,UNIVERSITY_MENTIONS_UNIVERSITY
University of London,Đại học Luân Đôn,UNIVERSITY_MENTIONS_UNIVERSITY
University of North Carolina at Chapel Hill,Đại học North Carolina tại Chapel Hill,UNIVERSITY_MENTIONS_UNIVERSITY
University of Virginia,Đại học Virginia,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Georgia,Học viện Công nghệ Georgia,UNIVERSITY_MENTIONS_UNIVERSITY
University of Southern California,Đại học Nam California,UNIVERSITY_MENTIONS_UNIVERSITY
Università Cattolica del Sacro Cuore,Đại học Milano,UNIVERSITY_MENTIONS_UNIVERSITY
Università Cattolica del Sacro Cuore,Đại học Padua,UNIVERSITY_MENTIONS_UNIVERSITY
Università Cattolica del Sacro Cuore,Đại học Palermo,UNIVERSITY_MENTIONS_UNIVERSITY
Università Cattolica del Sacro Cuore,Đại học Pisa,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Trường sau đại học,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học California,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học California tại Berkeley,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Viện Công nghệ Georgia,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học Kansas,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học Michigan,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học Minnesota,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học North Carolina tại Chapel Hill,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học Texas tại Austin,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học Virginia,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học Washington,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học Wisconsin–Madison,UNIVERSITY_MENTIONS_UNIVERSITY
