src_person,dst_person,relation
Adlai Stevenson I,Thomas R. Marshall,MENTIONS_PERSON
Adlai Stevenson I,Calvin Coolidge,MENTIONS_PERSON
Adlai Stevenson I,Charles G. Dawes,MENTIONS_PERSON
Adlai Stevenson I,John Nance Garner,MENTIONS_PERSON
Adlai Stevenson I,Henry A. Wallace,MENTIONS_PERSON
Adlai Stevenson I,Harry S. Truman,MENTIONS_PERSON
Adlai Stevenson I,Alben W. Barkley,MENTIONS_PERSON
Adlai Stevenson I,Richard Nixon,MENTIONS_PERSON
Adlai Stevenson I,Lyndon B. Johnson,MENTIONS_PERSON
Adlai Stevenson I,Hubert Humphrey,MENTIONS_PERSON
Adlai Stevenson I,Gerald Ford,MENTIONS_PERSON
Adlai Stevenson I,Nelson Rockefeller,MENTIONS_PERSON
Adlai Stevenson I,Walter Mondale,MENTIONS_PERSON
Adlai Stevenson I,George H. W. Bush,MENTIONS_PERSON
Adlai Stevenson I,Dick Cheney,MENTIONS_PERSON
Adlai Stevenson I,Joe Biden,MENTIONS_PERSON
Adlai Stevenson I,Mike Pence,MENTIONS_PERSON
Adlai Stevenson I,Kamala Harris,MENTIONS_PERSON
Adlai Stevenson I,JD Vance,MENTIONS_PERSON
Abdullah Gül,Recep Tayyip Erdoğan,MENTIONS_PERSON
Abdullah Gül,Ahmet Necdet Sezer,MENTIONS_PERSON
Abdullah Gül,Turgut Özal,MENTIONS_PERSON
Abdullah Gül,Süleyman Demirel,MENTIONS_PERSON
Adly Mansour,Mohamed Morsi,MENTIONS_PERSON
Adly Mansour,Mohamed ElBaradei,MENTIONS_PERSON
Adly Mansour,Abdel Fattah el-Sisi,MENTIONS_PERSON
Adly Mansour,Hosni Mubarak,MENTIONS_PERSON
Adly Mansour,Anwar Al-Sadad,MENTIONS_PERSON
Abhisit Vejjajiva,Chavarat Charnvirakul,MENTIONS_PERSON
Abhisit Vejjajiva,Yingluck Shinawatra,MENTIONS_PERSON
Abhisit Vejjajiva,Suthep Thaugsuban,MENTIONS_PERSON
Abhisit Vejjajiva,Thaksin Shinawatra,MENTIONS_PERSON
Abhisit Vejjajiva,Samak Sundaravej,MENTIONS_PERSON
Abhisit Vejjajiva,Somchai Wongsawat,MENTIONS_PERSON
Abhisit Vejjajiva,Đại học Oxford,MENTIONS_PERSON
Abhisit Vejjajiva,Lý Hiển Long,MENTIONS_PERSON
Abhisit Vejjajiva,Nguyễn Minh Triết,MENTIONS_PERSON
Abhisit Vejjajiva,Seni Pramoj,MENTIONS_PERSON
Abhisit Vejjajiva,Kukrit Pramoj,MENTIONS_PERSON
Abhisit Vejjajiva,Prem Tinsulanonda,MENTIONS_PERSON
Abhisit Vejjajiva,Chuan Leekpai,MENTIONS_PERSON
Abhisit Vejjajiva,Surayud Chulanont,MENTIONS_PERSON
Abhisit Vejjajiva,Niwatthamrong Boonsongpaisan,MENTIONS_PERSON
Abhisit Vejjajiva,Prayut Chan-o-cha,MENTIONS_PERSON
Abhisit Vejjajiva,Prawit Wongsuwan,MENTIONS_PERSON
Abhisit Vejjajiva,Srettha Thavisin,MENTIONS_PERSON
Abhisit Vejjajiva,Phumtham Wechayachai,MENTIONS_PERSON
Abhisit Vejjajiva,Paetongtarn Shinawatra,MENTIONS_PERSON
Abhisit Vejjajiva,Anutin Charnvirakul,MENTIONS_PERSON
Ahmad Massoud,Abdullah Abdullah,MENTIONS_PERSON
Ahmed Kathrada,Barack Obama,MENTIONS_PERSON
Ahmet Davutoğlu,Recep Tayyip Erdoğan,MENTIONS_PERSON
Ahmet Davutoğlu,Numan Kurtulmuş,MENTIONS_PERSON
Ahmet Davutoğlu,Süleyman Demirel,MENTIONS_PERSON
Ahmet Davutoğlu,Turgut Özal,MENTIONS_PERSON
Ahmet Davutoğlu,Abdullah Gül,MENTIONS_PERSON
Alain Poher,Charles de Gaulle,MENTIONS_PERSON
Alain Poher,Georges Pompidou,MENTIONS_PERSON
Alain Poher,Valéry Giscard d'Estaing,MENTIONS_PERSON
Alain Poher,Jean Casimir-Perier,MENTIONS_PERSON
Alain Poher,Émile Loubet,MENTIONS_PERSON
Alain Poher,Armand Fallières,MENTIONS_PERSON
Alain Poher,Raymond Poincaré,MENTIONS_PERSON
Alain Poher,Paul Deschanel,MENTIONS_PERSON
Alain Poher,Alexandre Millerand,MENTIONS_PERSON
Alain Poher,Gaston Doumergue,MENTIONS_PERSON
Alain Poher,Paul Doumer,MENTIONS_PERSON
Alain Poher,Vincent Auriol,MENTIONS_PERSON
Alain Poher,René Coty,MENTIONS_PERSON
Alain Poher,François Mitterrand,MENTIONS_PERSON
Alain Poher,Jacques Chirac,MENTIONS_PERSON
Alain Poher,Nicolas Sarkozy,MENTIONS_PERSON
Alain Poher,François Hollande,MENTIONS_PERSON
Alain Poher,Emmanuel Macron,MENTIONS_PERSON
Alar Karis,Kaja Kallas,MENTIONS_PERSON
Ahmet Necdet Sezer,Abdullah Gül,MENTIONS_PERSON
Ahmet Necdet Sezer,Recep Tayyip Erdoğan,MENTIONS_PERSON
Ahmet Necdet Sezer,Süleyman Demirel,MENTIONS_PERSON
Ahmet Necdet Sezer,Turgut Özal,MENTIONS_PERSON
Abe Shinzō,Asō Tarō,MENTIONS_PERSON
Abe Shinzō,Noda Yoshihiko,MENTIONS_PERSON
Abe Shinzō,Suga Yoshihide,MENTIONS_PERSON
Abe Shinzō,Koizumi Junichirō,MENTIONS_PERSON
Abe Shinzō,Fukuda Yasuo,MENTIONS_PERSON
Abe Shinzō,Ishiba Shigeru,MENTIONS_PERSON
Abe Shinzō,Tanigaki Sadakazu,MENTIONS_PERSON
Abe Shinzō,Yoshida Shigeru,MENTIONS_PERSON
Abe Shinzō,Kishi Nobusuke,MENTIONS_PERSON
Abe Shinzō,Satō Eisaku,MENTIONS_PERSON
Abe Shinzō,Mori Yoshirō,MENTIONS_PERSON
Abe Shinzō,Hồ Cẩm Đào,MENTIONS_PERSON
Abe Shinzō,Pratibha Patil,MENTIONS_PERSON
Abe Shinzō,Trần Thủy Biển,MENTIONS_PERSON
Abe Shinzō,Lý Đăng Huy,MENTIONS_PERSON
Abe Shinzō,Thái Anh Văn,MENTIONS_PERSON
Abe Shinzō,Joe Biden,MENTIONS_PERSON
Abe Shinzō,Nguyễn Xuân Phúc,MENTIONS_PERSON
Abe Shinzō,Barack Obama,MENTIONS_PERSON
Abe Shinzō,Kan Naoto,MENTIONS_PERSON
Abe Shinzō,David Cameron,MENTIONS_PERSON
Abe Shinzō,Tony Abbott,MENTIONS_PERSON
Abe Shinzō,Manmohan Singh,MENTIONS_PERSON
Abe Shinzō,Narendra Modi,MENTIONS_PERSON
Abe Shinzō,Park Geun-hye,MENTIONS_PERSON
Abe Shinzō,Tập Cận Bình,MENTIONS_PERSON
Abe Shinzō,Nakatani Gen,MENTIONS_PERSON
Abe Shinzō,Donald Trump,MENTIONS_PERSON
Abe Shinzō,Lý Khắc Cường,MENTIONS_PERSON
Abe Shinzō,Katō Katsunobu,MENTIONS_PERSON
Abe Shinzō,Kamala Harris,MENTIONS_PERSON
Abe Shinzō,Anthony Albanese,MENTIONS_PERSON
Abe Shinzō,Angela Merkel,MENTIONS_PERSON
Abe Shinzō,Boris Johnson,MENTIONS_PERSON
Abe Shinzō,Itō Hirobumi,MENTIONS_PERSON
Abe Shinzō,Saionji Kinmochi,MENTIONS_PERSON
Abe Shinzō,Hara Takashi,MENTIONS_PERSON
Abe Shinzō,Katō Tomosaburō,MENTIONS_PERSON
Abe Shinzō,Katō Takaaki,MENTIONS_PERSON
Abe Shinzō,Wakatsuki Reijirō,MENTIONS_PERSON
Abe Shinzō,Tanaka Giichi,MENTIONS_PERSON
Abe Shinzō,Inukai Tsuyoshi,MENTIONS_PERSON
Abe Shinzō,Saitō Makoto,MENTIONS_PERSON
Abe Shinzō,Gotō Fumio,MENTIONS_PERSON
Abe Shinzō,Hiranuma Kiichirō,MENTIONS_PERSON
Abe Shinzō,Abe Nobuyuki,MENTIONS_PERSON
Abe Shinzō,Itō Masayoshi,MENTIONS_PERSON
Abe Shinzō,Hatoyama Yukio,MENTIONS_PERSON
Abe Shinzō,Kishida Fumio,MENTIONS_PERSON
Abe Shinzō,Takaichi Sanae,MENTIONS_PERSON
Alain Juppé,Jacques Chirac,MENTIONS_PERSON
Alain Juppé,François Fillon,MENTIONS_PERSON
Alain Juppé,Laurent Fabius,MENTIONS_PERSON
Alain Juppé,Jacques Chaban-Delmas,MENTIONS_PERSON
Alain Juppé,Nicolas Sarkozy,MENTIONS_PERSON
Alain Juppé,François Hollande,MENTIONS_PERSON
Alain Juppé,Charles-Maurice de Talleyrand-Périgord,MENTIONS_PERSON
Alain Juppé,François Arago,MENTIONS_PERSON
Alain Juppé,Armand Fallières,MENTIONS_PERSON
Alain Juppé,Émile Loubet,MENTIONS_PERSON
Alain Juppé,Jean Casimir-Perier,MENTIONS_PERSON
Alain Juppé,Georges Clemenceau,MENTIONS_PERSON
Alain Juppé,Raymond Poincaré,MENTIONS_PERSON
Alain Juppé,Gaston Doumergue,MENTIONS_PERSON
Alain Juppé,Alexandre Millerand,MENTIONS_PERSON
Alain Juppé,Charles de Gaulle,MENTIONS_PERSON
Alain Juppé,Vincent Auriol,MENTIONS_PERSON
Alain Juppé,Pierre Mendès France,MENTIONS_PERSON
Alain Juppé,Michel Debré,MENTIONS_PERSON
Alain Juppé,Georges Pompidou,MENTIONS_PERSON
Alain Juppé,Michel Rocard,MENTIONS_PERSON
Alain Juppé,Dominique de Villepin,MENTIONS_PERSON
Alain Juppé,Jean-Marc Ayrault,MENTIONS_PERSON
Alain Juppé,Manuel Valls,MENTIONS_PERSON
Alain Juppé,Bernard Cazeneuve,MENTIONS_PERSON
Alain Juppé,Édouard Philippe,MENTIONS_PERSON
Alain Juppé,Gabriel Attal,MENTIONS_PERSON
Alain Juppé,Michel Barnier,MENTIONS_PERSON
Adolfo Suárez,Francisco Franco,MENTIONS_PERSON
Adolfo Suárez,Mariano Rajoy,MENTIONS_PERSON
Adolfo Suárez,Pedro Sánchez,MENTIONS_PERSON
Alan García,Ollanta Humala,MENTIONS_PERSON
Alan García,Alberto Fujimori,MENTIONS_PERSON
Alan García,José Jerí,MENTIONS_PERSON
Alben W. Barkley,Harry S. Truman,MENTIONS_PERSON
Alben W. Barkley,Richard Nixon,MENTIONS_PERSON
Alben W. Barkley,Franklin D. Roosevelt,MENTIONS_PERSON
Alban Berg,Gustav Mahler,MENTIONS_PERSON
Alenka Bratušek,Borut Pahor,MENTIONS_PERSON
Alenka Bratušek,Janez Janša,MENTIONS_PERSON
Aleksander Kwaśniewski,Włodzimierz Cimoszewicz,MENTIONS_PERSON
Aleksander Kwaśniewski,Jerzy Buzek,MENTIONS_PERSON
Aleksander Kwaśniewski,Lech Kaczyński,MENTIONS_PERSON
Alcide De Gasperi,Enrico De Nicola,MENTIONS_PERSON
Alcide De Gasperi,Luigi Einaudi,MENTIONS_PERSON
Alcide De Gasperi,Giuseppe Saragat,MENTIONS_PERSON
Alcide De Gasperi,Konrad Adenauer,MENTIONS_PERSON
Alcide De Gasperi,Bettino Ricasoli,MENTIONS_PERSON
Alcide De Gasperi,Urbano Rattazzi,MENTIONS_PERSON
Alcide De Gasperi,Francesco Crispi,MENTIONS_PERSON
Alcide De Gasperi,Giovanni Giolitti,MENTIONS_PERSON
Alcide De Gasperi,Luigi Luzzatti,MENTIONS_PERSON
Alcide De Gasperi,Antonio Salandra,MENTIONS_PERSON
Alcide De Gasperi,Aldo Moro,MENTIONS_PERSON
Alcide De Gasperi,Giulio Andreotti,MENTIONS_PERSON
Alcide De Gasperi,Francesco Cossiga,MENTIONS_PERSON
Alcide De Gasperi,Arnaldo Forlani,MENTIONS_PERSON
Alcide De Gasperi,Giovanni Spadolini,MENTIONS_PERSON
Alcide De Gasperi,Bettino Craxi,MENTIONS_PERSON
Alcide De Gasperi,Giuliano Amato,MENTIONS_PERSON
Alcide De Gasperi,Silvio Berlusconi,MENTIONS_PERSON
Alcide De Gasperi,Lamberto Dini,MENTIONS_PERSON
Alcide De Gasperi,Romano Prodi,MENTIONS_PERSON
Alcide De Gasperi,Mario Monti,MENTIONS_PERSON
Alcide De Gasperi,Enrico Letta,MENTIONS_PERSON
Alcide De Gasperi,Matteo Renzi,MENTIONS_PERSON
Alcide De Gasperi,Paolo Gentiloni,MENTIONS_PERSON
Alcide De Gasperi,Giuseppe Conte,MENTIONS_PERSON
Alcide De Gasperi,Mario Draghi,MENTIONS_PERSON
Alberto Fernández,Cristina Fernández de Kirchner,MENTIONS_PERSON
Alberto Fernández,Javier Milei,MENTIONS_PERSON
Albert Speer,Joseph Goebbels,MENTIONS_PERSON
Albert Speer,Lutz Graf Schwerin von Krosigk,MENTIONS_PERSON
Aldo Moro,Giulio Andreotti,MENTIONS_PERSON
Aldo Moro,Giuseppe Saragat,MENTIONS_PERSON
Aldo Moro,Bettino Ricasoli,MENTIONS_PERSON
Aldo Moro,Urbano Rattazzi,MENTIONS_PERSON
Aldo Moro,Francesco Crispi,MENTIONS_PERSON
Aldo Moro,Giovanni Giolitti,MENTIONS_PERSON
Aldo Moro,Luigi Luzzatti,MENTIONS_PERSON
Aldo Moro,Antonio Salandra,MENTIONS_PERSON
Aldo Moro,Alcide De Gasperi,MENTIONS_PERSON
Aldo Moro,Francesco Cossiga,MENTIONS_PERSON
Aldo Moro,Arnaldo Forlani,MENTIONS_PERSON
Aldo Moro,Giovanni Spadolini,MENTIONS_PERSON
Aldo Moro,Bettino Craxi,MENTIONS_PERSON
Aldo Moro,Giuliano Amato,MENTIONS_PERSON
Aldo Moro,Silvio Berlusconi,MENTIONS_PERSON
Aldo Moro,Lamberto Dini,MENTIONS_PERSON
Aldo Moro,Romano Prodi,MENTIONS_PERSON
Aldo Moro,Mario Monti,MENTIONS_PERSON
