person,person_url,university,university_url,source
E. L. Doctorow,https://vi.wikipedia.org/wiki/E._L._Doctorow,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Jesse Douglas,https://vi.wikipedia.org/wiki/Jesse_Douglas,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Will Durant,https://vi.wikipedia.org/wiki/Will_Durant,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Đinh Thiện Lý,https://vi.wikipedia.org/wiki/%C4%90inh_Thi%E1%BB%87n_L%C3%BD,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Đường Thiệu Nghi,https://vi.wikipedia.org/wiki/%C4%90%C6%B0%E1%BB%9Dng_Thi%E1%BB%87u_Nghi,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Noam Elkies,https://vi.wikipedia.org/wiki/Noam_Elkies,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Robert Fogel,https://vi.wikipedia.org/wiki/Robert_Fogel,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
James Franco,https://vi.wikipedia.org/wiki/James_Franco,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Milton Friedman,https://vi.wikipedia.org/wiki/Milton_Friedman,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Federico García Lorca,https://vi.wikipedia.org/wiki/Federico_Garc%C3%ADa_Lorca,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Art Garfunkel,https://vi.wikipedia.org/wiki/Art_Garfunkel,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Georgina Jiménez de López,https://vi.wikipedia.org/wiki/Georgina_Jim%C3%A9nez_de_L%C3%B3pez,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Allen Ginsberg,https://vi.wikipedia.org/wiki/Allen_Ginsberg,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Alan Greenspan,https://vi.wikipedia.org/wiki/Alan_Greenspan,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
James Gunn,https://vi.wikipedia.org/wiki/James_Gunn,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Jake Gyllenhaal,https://vi.wikipedia.org/wiki/Jake_Gyllenhaal,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Maggie Gyllenhaal,https://vi.wikipedia.org/wiki/Maggie_Gyllenhaal,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Hà Bỉnh Lệ,https://vi.wikipedia.org/wiki/H%C3%A0_B%E1%BB%89nh_L%E1%BB%87,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Alexander Haig,https://vi.wikipedia.org/wiki/Alexander_Haig,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Alexander Hamilton,https://vi.wikipedia.org/wiki/Alexander_Hamilton,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Harold E. Varmus,https://vi.wikipedia.org/wiki/Harold_E._Varmus,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Ed Harris,https://vi.wikipedia.org/wiki/Ed_Harris,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Herbert A. Hauptman,https://vi.wikipedia.org/wiki/Herbert_A._Hauptman,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Hendrik Wade Bode,https://vi.wikipedia.org/wiki/Hendrik_Wade_Bode,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Henrique Capriles Radonski,https://vi.wikipedia.org/wiki/Henrique_Capriles_Radonski,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Henry Steel Olcott,https://vi.wikipedia.org/wiki/Henry_Steel_Olcott,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Herbert Marcuse,https://vi.wikipedia.org/wiki/Herbert_Marcuse,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
